"","user_id","aoa","frequency","word_type","word","correct","time"
"","110","late","high","non word","ameanst","true","241"
"","110","late","high","word","shall","false","358"
"","110","early","high","non word","munse","true","390"
"","110","late","low","non word","boligranps","true","398"
"","110","late","low","word","moleskin","false","422"
"","97","late","high","word","damn","true","428"
"","115","early","high","word","those","true","440"
"","111","early","low","word","banana","true","442"
"","102","early","high","non word","gange","false","443"
"","110","late","low","non word","merpel","true","454"
"","111","late","high","word","degree","true","467"
"","102","late","high","non word","fex","false","468"
"","110","late","low","word","incept","false","485"
"","115","early","low","word","greed","true","488"
"","111","late","high","word","industry","true","489"
"","97","early","high","word","close","true","493"
"","112","early","high","word","people","true","496"
"","102","late","high","word","against","true","498"
"","97","late","low","word","disc","true","499"
"","111","early","high","word","land","true","499"
"","102","late","low","word","marvel","true","506"
"","97","late","high","word","rate","true","510"
"","95","early","high","word","cousin","true","511"
"","111","late","high","non word","kass","true","513"
"","103","early","high","word","those","true","514"
"","113","early","low","word","scratch","true","519"
"","111","early","high","word","cousin","true","520"
"","103","early","high","word","close","true","521"
"","110","late","high","non word","fornk","true","522"
"","115","late","high","word","sex","true","523"
"","102","late","high","word","industry","true","523"
"","97","late","high","word","degree","true","525"
"","97","late","low","non word","ament","true","525"
"","95","late","low","word","calligraphy","true","526"
"","110","early","high","non word","avering","true","527"
"","113","late","high","word","president","true","528"
"","113","early","low","non word","kep","true","528"
"","110","early","high","word","newspaper","true","529"
"","102","early","high","word","win","true","530"
"","110","early","low","word","banana","true","531"
"","110","late","low","word","moleskin","false","532"
"","95","early","low","word","cookie","true","534"
"","111","early","high","word","everything","true","535"
"","110","early","low","word","knitting","false","535"
"","113","early","low","word","couch","true","536"
"","95","late","high","word","sex","true","537"
"","95","late","low","word","crypt","true","537"
"","115","early","high","word","house","true","539"
"","102","early","high","word","someone","true","539"
"","115","early","high","word","people","true","539"
"","111","early","high","word","lady","true","541"
"","112","early","high","word","find","true","543"
"","113","late","high","word","damn","true","543"
"","113","early","high","word","fight","true","544"
"","103","early","low","word","greed","true","544"
"","102","late","high","word","president","true","544"
